,Дата,Время,Ставка
0,15.04.2022,16:11:34,5021.62
1,15.04.2022,16:10:13,5065.7
2,15.04.2022,16:10:08,5109.78
3,15.04.2022,16:08:41,5153.86
4,15.04.2022,16:08:40,5197.94
5,15.04.2022,16:07:16,5242.02
6,15.04.2022,16:07:13,5286.1
7,15.04.2022,16:05:51,5330.18
8,15.04.2022,16:05:47,5374.26
9,15.04.2022,16:04:25,5418.34
10,15.04.2022,16:04:20,5462.42
11,15.04.2022,16:02:53,5506.5
12,15.04.2022,16:02:52,5550.58
13,15.04.2022,16:01:28,5594.66
14,15.04.2022,16:01:26,5638.74
15,15.04.2022,16:00:01,5682.82
16,15.04.2022,15:59:57,5726.9
17,15.04.2022,15:58:36,5770.98
18,15.04.2022,15:58:31,5815.06
19,15.04.2022,15:57:05,5859.14
20,15.04.2022,15:56:42,5903.22
21,15.04.2022,15:56:29,5947.3
22,15.04.2022,15:56:27,5991.38
23,15.04.2022,15:55:01,6035.46
24,15.04.2022,15:55:00,6079.54
25,15.04.2022,15:53:41,6123.62
26,15.04.2022,15:53:36,6167.7
27,15.04.2022,15:52:16,6211.78
28,15.04.2022,15:52:10,6255.86
29,15.04.2022,15:50:45,6299.94
30,15.04.2022,15:50:43,6344.02
31,15.04.2022,15:49:19,6388.1
32,15.04.2022,15:49:15,6432.18
33,15.04.2022,15:47:49,6476.26
34,15.04.2022,15:47:16,6520.34
35,15.04.2022,15:47:13,6564.42
36,15.04.2022,15:47:09,6608.5
37,15.04.2022,15:46:18,6652.58
38,15.04.2022,15:46:17,6696.66
39,15.04.2022,15:44:57,6740.74
40,15.04.2022,15:44:52,6784.82
41,15.04.2022,15:43:26,6828.9
42,15.04.2022,15:42:51,6872.98
43,15.04.2022,15:42:50,6917.06
44,15.04.2022,15:42:46,6961.14
45,15.04.2022,15:41:24,7005.22
46,15.04.2022,15:41:20,7049.3
47,15.04.2022,15:40:16,7093.38
48,15.04.2022,15:40:11,7137.46
49,15.04.2022,15:38:38,7181.54
50,15.04.2022,15:38:38,7225.62
51,15.04.2022,15:37:46,7269.7
52,15.04.2022,15:37:44,7313.78
53,15.04.2022,15:30:59,7357.86
54,15.04.2022,15:30:58,7401.94
55,15.04.2022,15:29:01,7446.02
56,15.04.2022,15:28:56,7490.1
57,15.04.2022,15:28:20,7534.18
58,15.04.2022,15:28:15,7578.26
59,15.04.2022,15:25:02,7622.34
60,15.04.2022,15:24:57,7666.42
61,15.04.2022,15:22:54,7710.5
62,15.04.2022,15:22:51,7754.58
63,15.04.2022,15:20:46,7798.66
64,15.04.2022,15:20:46,7842.74
65,15.04.2022,15:19:20,7886.82
66,15.04.2022,15:19:17,7930.9
67,15.04.2022,15:18:27,7974.98
68,15.04.2022,15:17:58,8019.06
69,15.04.2022,15:17:54,8063.14
70,15.04.2022,15:17:51,8107.22
71,15.04.2022,15:17:46,8151.3
72,15.04.2022,15:16:45,8195.38
73,15.04.2022,15:16:45,8239.46
74,15.04.2022,15:09:38,8283.54
75,15.04.2022,15:09:35,8327.62
76,15.04.2022,15:06:21,8371.7
77,15.04.2022,15:06:16,8415.78
78,15.04.2022,14:56:04,8459.86
79,15.04.2022,14:55:57,8503.94
80,15.04.2022,14:49:39,8548.02
81,15.04.2022,14:49:35,8592.1
82,15.04.2022,14:41:21,8636.18
83,15.04.2022,12:59:48,8680.26
84,15.04.2022,12:58:36,8724.34
85,15.04.2022,12:46:04,8768.42
